imdb_id,title,theme_name,theme_salience,confidence,justification
tt0080684,Star Wars Ep. V: The Empire Strikes Back,extreme_individualism,5,0.8,"The film presents a recurring tension between individual action and collective effort. Han Solo's initial desire to leave the Rebellion due to his personal debts highlights self-interest conflicting with the group's needs. Luke's decision to abandon his Jedi training to rescue his friends, despite Yoda's warnings about the consequences, emphasizes individual choice over the collective goal of defeating the Empire. The dialogue between Luke and Yoda underscores this conflict, with Yoda stressing the importance of patience and control for the greater good, while Luke prioritizes the immediate needs of his friends. This tension is further exemplified by Lando's initial betrayal, motivated by self-preservation, before his eventual redemption and contribution to the group's efforts."
tt0081562,Stir Crazy,extreme_individualism,4,0.8,"The film features a buddy dynamic between Harry and Skip, but Skip's actions often lean towards individualism. He frequently acts impulsively and independently, such as when he tries to socialize with potentially dangerous individuals (""They're nice guys. They'll take your head off."") or when he decides to participate in the rodeo despite Harry's reservations. Harry, while initially hesitant, usually goes along with Skip's plans, suggesting a degree of codependence rather than true collaboration. The narrative does not strongly emphasize collective action or community needs, but neither does it fully valorize the 'lone wolf' archetype, placing it in the intermittent range."
tt0079417,Kramer vs. Kramer,extreme_individualism,6,0.9,"The film explores the tension between individual needs and familial responsibilities, particularly through Joanna's initial departure and subsequent desire for custody. Joanna's dialogue, such as ""I have gone away because I must find something interesting to do for myself in the world,"" highlights her pursuit of personal fulfillment over her role as a mother. Ted's initial focus on his career, demonstrated by his reaction to Joanna's leaving (""Can't you understand what she's done to me?""), also underscores a degree of self-centeredness. However, the narrative also shows Ted's growth and increasing dedication to his son, suggesting a shift away from extreme individualism. The legal battle over Billy's custody becomes a central conflict, pitting Joanna's individual desires against Ted's established role as a caregiver, making the tension between individual needs and collective well-being a recurring theme."
tt0080339,Airplane!,extreme_individualism,6,0.8,"The film presents a narrative where collective action is initially ineffective, and the resolution hinges on one individual, Ted Striker. While there are elements of teamwork, such as air traffic control assisting Striker, the core problem-solving rests on his shoulders. Dialogue emphasizes Striker's personal struggles and his need to overcome his past failures to save the plane. For example, Kramer says, ""Ted Striker was a crack flight leader up to a point. He was one of those men who...Well, let's just say, felt too much inside."" This highlights Striker's internal conflict as a barrier to collective success. The film also frames Striker's unique capability as essential, as Dr. Rumack states, ""Mr. Striker is the only hope we've got."""
tt0080377,Any Which Way You Can,extreme_individualism,6,0.8,"The film features a protagonist, Philo Beddoe, who operates largely outside of conventional social structures. He is a fighter who takes on challenges for personal reasons, such as helping friends or settling scores, rather than for any collective good. Dialogue such as ""I'm doing it, and that's the end of it"" when discussing a dangerous fight, and his general disregard for the law, as evidenced by his interactions with law enforcement and his association with Clyde, highlight his individualistic nature. While he has friends and a romantic interest, his decisions are ultimately his own, and he often rejects advice or warnings, emphasizing his self-reliance. The narrative revolves around his personal journey and choices, making individualism a recurring theme."
tt0081375,Private Benjamin,extreme_individualism,6,0.9,"The film explores Judy Benjamin's journey of self-discovery and independence, initially driven by a desire to belong and be taken care of, as highlighted by her statement, ""I've never not belonged to somebody."" However, the narrative shifts as she joins the army and confronts challenges that force her to rely on her own capabilities. The tension between her desire for a traditional relationship and her growing sense of self-reliance is evident in her relationships, particularly with Henri, where she ultimately chooses to break off the wedding because she realizes she doesn't want to be financially controlled. The ending, where she leaves Henri at the altar, underscores her decision to prioritize her own needs and desires over societal expectations or romantic fulfillment, making individualism a recurring theme."
tt0080549,Coal Miner's Daughter,extreme_individualism,4,0.8,"Individualism is present but not structurally central. Loretta's success is largely due to her own talent and drive, but also heavily influenced by her relationship with her husband, Doo, and her friend Patsy Cline. While Loretta displays some self-reliance, such as writing her own songs and performing despite stage fright, she also relies on Doo's support and management. The dialogue shows a mix of individual ambition and collaborative effort, such as when Doo encourages Loretta to sing despite her reluctance: ""All I can do is just tell you to get the hell out there and sing for the folks."" The narrative does not consistently frame collective efforts as weak or restrictive, and the resolution depends on a balance of Loretta's individual talent and the support of her community."
tt0081529,Smokey and the Bandit II,extreme_individualism,5,0.8,"The film features a central duo, the Bandit and Snowman, who undertake a high-stakes, illegal mission. While they work together, the Bandit's reputation and skill are consistently highlighted, suggesting a reliance on individual capability. The dialogue emphasizes the Bandit's unique status, such as when a fan says, ""Bet that smokey can't handle the legendary Bandit..."" and the Bandit himself claims, ""I'm what you call your 'basic famous.'"" Furthermore, the narrative includes moments where the Bandit's ego and desire for fame create conflict, as Frog accuses him of being a ""fame junkie,"" indicating a tension between personal glory and the needs of the group. The resolution depends on the Bandit's choices, but also on the help of his friends."
tt0080455,The Blues Brothers,extreme_individualism,4,0.8,"The narrative features elements of individualism, primarily through Jake and Elwood's actions, but it's not structurally dominant. They are on a 'mission from God,' suggesting a higher purpose beyond personal gain, but their methods often involve breaking rules and disregarding authority. For example, they lie to the Penguin and engage in reckless behavior, like driving through a mall, with little regard for the consequences to others. Elwood's falsification of his address and Jake's confrontational attitude towards figures like the Penguin and the Nazis also highlight a disregard for societal norms. However, their ultimate goal is to save the orphanage, indicating a degree of concern for the collective, and they do rely on the cooperation of the band members, which tempers the individualism."
tt0081283,Ordinary People,extreme_individualism,4,0.8,"Individualism is present, but not dominant. Conrad's internal struggles and therapy sessions suggest a focus on individual healing, but this is largely driven by external pressures from his family and past trauma. There are moments where characters emphasize personal responsibility, such as Dr. Berger's confrontational therapy style, but these are balanced by the family's attempts to function as a unit. The film explores the challenges of individual healing within a family context, but the narrative doesn't strongly promote self-reliance over collective support. The ending shows Conrad starting to connect with others, suggesting a move away from isolation."
