imdb_id,title,theme_name,theme_salience,confidence,justification
structural_conflict,10,"The narrative is fundamentally organized around high-stakes warfare, beginning with an urgent evacuation due to a 'ground assault' and 'bombardment' by Imperial forces. A sustained cat-and-mouse pursuit drives the middle act, evidenced by dialogue regarding 'Star Destroyers,' 'asteroids,' and the constant need to 'outmanoeuvre' the enemy. The climax is engineered entirely through strategic antagonism, explicitly described as a 'trap' set by Lord Vader to force a confrontation with Skywalker. Even the protagonists' internal development is defined by the looming threat, with training sequences focusing on the necessity to 'conquer Vader' and the danger of the 'dark side.' Consequently, conflict functions as the absolute central engine of the story, dictating every major character decision and plot progression.",1,tt0080684,Star Wars Ep. V: The Empire Strikes Back
structural_conflict,9,"The narrative organization is driven almost exclusively by high-stakes antagonism, beginning with the protagonists being framed for bank robbery and receiving a sentence of '125 years.' The structural engine of the film is their struggle against the hostile prison environment, featuring institutional threats from the Warden (who vows to 'break him') and physical danger from inmate enforcers like Jack Graham. The plot escalates through forced participation in a dangerous rodeo, where the protagonists face explicit threats of injury ('He'll try to kill you in the chute') and must navigate sustained confrontation to secure their survival and escape. Thus, despite the comedic dialogue, the story's progression relies entirely on the characters' opposition to the legal and penal forces arrayed against them.",1,tt0081562,Stir Crazy
structural_conflict,8,"The narrative structure is anchored by two major phases of high-stakes interpersonal and institutional conflict: the initial domestic rupture when Joanna abandons the family ('I'm leaving you... I don't love you anymore') and the later adversarial legal battle for custody. The film's climax is driven entirely by sustained confrontation in the courtroom, featuring aggressive dialogue where lawyers attack the characters' competence ('Were you a failure at the one most important relationship in your life?'). Additionally, professional conflict serves as a key structural bridge, as Ted's inability to manage opposing forces leads to his firing ('I can't let your family problems interfere with my responsibilities'). While the middle act focuses on bonding, the external plot progression is dictated entirely by these escalating threats to the family unit.",1,tt0079417,Kramer vs. Kramer
structural_conflict,8,"The narrative organization is driven almost entirely by a high-stakes crisis: the incapacitation of the flight crew due to food poisoning and the subsequent urgent need to land the plane. The story progresses through a series of escalating threats, including severe weather conditions ('fog has closed down everything'), mechanical failure ('Lost number four'), and the protagonist's struggle against his own trauma and lack of currency ('I haven't touched any kind of plane in six years'). Persistent antagonism exists between the ground controllers and the cockpit, particularly regarding the pilot's competence ('He's a menace to himself'). While comedic elements are present, the structural engine of the plot is the sustained life-or-death danger facing the passengers.",1,tt0080339,Airplane!
structural_conflict,9,"The narrative is structurally anchored by a continuous series of physical confrontations, beginning with illegal prize fights and culminating in a high-stakes showdown against Jack Wilson. Multiple antagonistic forces drive the plot, including the Black Widows seeking revenge ('nail to the gates of hell') and the mobster Beekman, who uses extortion and kidnapping ('produce her Saturday noon') to force the protagonist into the ring. Dialogue consistently revolves around threats of violence, betting odds, and strategic maneuvering for the final bout, leaving almost no narrative space unrelated to the central conflict. Consequently, antagonism serves as the dominant engine, determining every major character decision and plot progression.",1,tt0080377,Any Which Way You Can
structural_conflict,8,"The narrative structure is driven almost exclusively by a series of sustained confrontations between the protagonist and oppressive authority figures or institutions. The story progresses from the physical and psychological antagonism of basic training, typified by Captain Lewis's hostility ('You are not fit to wear that uniform'), to high-stakes institutional threats, such as the sexual coercion by Colonel Thornbush which the protagonist resolves through counter-threats of exposure. Finally, the climax hinges on an interpersonal conflict with her fiancé Henri regarding his infidelity and controlling behavior ('Don't call me stupid'), proving that opposition is the central engine of the film's character development and plot resolution.",1,tt0081375,Private Benjamin
structural_conflict,6,"Structural conflict is a significant and recurring engine of the narrative, primarily driven by the volatile domestic relationship between Loretta and Doolittle, which fuels both the plot and the musical content. Doolittle's coercive behavior and threats of violence, evidenced by dialogue such as ""I'll whip your butt, girl!"" and ""I'm sorry, Loretta, but you drove me to it!"", act as catalysts for Loretta's career and her eventual assertiveness. This interpersonal antagonism directly inspires key narrative developments, including the creation of hit songs like ""Fist City"" (""If you wanna keep that arm, get it off my husband"") and culminates in a structural crisis where the pressure of fame conflicts with Loretta's well-being (""I can't sing tonight, Doo""). However, the salience is tempered because the conflict shares centrality with themes of musical success, familial love, and supportive friendships (such as with Patsy Cline), preventing antagonism from being the sole dominant driver of the story.",0.9,tt0080549,Coal Miner's Daughter
structural_conflict,9,"The narrative is fundamentally structured as a high-stakes pursuit driven by a $400,000 wager and a strict deadline. Structural conflict is maintained through the relentless antagonism of Sheriff Buford T. Justice, who issues explicit threats like ""I'm gonna put a hole... right between those gorgeous brown eyes"" and vows to chase the protagonist ""to the ends of the earth."" The tension escalates as the antagonist recruits reinforcements for a ""game of chicken,"" transforming the journey into a series of strategic evasions and vehicular confrontations. Furthermore, a critical obstacle regarding the cargo's medical condition creates a structural pivot, forcing the protagonist to choose between the pressure of the pursuit and the safety of the elephant.",1,tt0081529,Smokey and the Bandit II
structural_conflict,8,"The narrative structure is entirely driven by a high-stakes, time-sensitive conflict: the protagonists must raise $5,000 within 11 days to save their orphanage from being sold to the Board of Education. This central 'mission from God' generates persistent antagonism from multiple external forces, including the police following a destructive high-speed chase and the 'Illinois Nazis' who explicitly vow lethal revenge ('We're gonna kill that son of a bitch'). Additionally, nearly every scene involves overcoming interpersonal opposition to advance the plot, such as the physical assault by the nun, the coercion of Mr. Fabulous at the Chez Paul, and the domestic confrontation at the Soul Food Cafe. While comedic in tone, the story's progression relies strictly on the protagonists surviving these escalating threats and overcoming resistance.",1,tt0080455,The Blues Brothers
structural_conflict,7,"The narrative is structurally driven by sustained psychological and interpersonal antagonism, specifically the high-stakes friction between a mother's repression and her son's trauma. This conflict dictates the story's progression, escalating from passive-aggressive avoidance (Beth refusing to take a picture with Conrad) to explosive confrontations, such as the argument over the swim team where Conrad shouts, ""The only reason she gives a fuck... is cos someone else knew first!"" The tension functions as the central narrative engine, culminating in the structural dissolution of the family unit when Calvin finally confronts Beth's inability to love (""I don't know if you're really giving... I don't know if I love you any more"").",1,tt0081283,Ordinary People
