imdb_id,title,theme_name,theme_salience,confidence,justification
tt0080684,Star Wars Ep. V: The Empire Strikes Back,institutional_cynicism,4,0.8,"The subtitles contain some elements of institutional cynicism, but it is not a dominant theme. The most salient example is Han Solo's need to leave the Rebel base due to a ""death mark"" from Jabba the Hutt, implying that the Rebel Alliance cannot or will not protect him from this external threat. There are also minor instances of bureaucratic inefficiency, such as the difficulty in adapting speeders to the cold and the initial failure to detect the Imperial probe droid. However, the Rebel Alliance is generally portrayed as competent and dedicated, and there is no explicit corruption or inherent untrustworthiness displayed. Therefore, while institutions are occasionally shown as flawed or unhelpful, it doesn't drive the plot."
tt0081562,Stir Crazy,institutional_cynicism,7,0.9,"Institutional cynicism is a central theme. The protagonists, Harry and Skip, are wrongly convicted of bank robbery and sentenced to 125 years in prison, highlighting a failure of the justice system. Their lawyer is ineffective, and the legal system dismisses crucial evidence that could exonerate them. Inside prison, corruption is rampant, with inmates like Jack Graham controlling the cellblock and guards engaging in violence. The protagonists ultimately decide to escape, further illustrating their distrust in the system's ability to deliver justice or fair treatment."
tt0080339,Airplane!,institutional_cynicism,4,0.7,"The subtitles contain some elements of institutional cynicism, but it is not a central theme. There are minor instances of bureaucratic frustration, such as the repetitive and seemingly nonsensical announcements about loading zones at the airport. More significantly, the airline management and FAA are portrayed as potentially negligent, with Rex Kramer stating, ""Airport management, the FAA and the airlines, they're all cheats and liars!"" However, these instances are relatively isolated and do not drive the main plot, which focuses more on individual heroism and personal relationships."
tt0080377,Any Which Way You Can,institutional_cynicism,6,0.8,"Institutional cynicism is a relevant and recurring theme. The police are portrayed as somewhat inept and easily manipulated, as seen when Philo and Orville evade them after a fight and when the Black Widows steal the police bikes. The legal system is also bypassed, as the entire plot revolves around an illegal bare-knuckle fight with no official oversight. Furthermore, the police are shown to be easily bribed or distracted, as evidenced by the officer who is more concerned with Clyde's paperwork than with the illegal activities occurring around him. The narrative highlights a world where personal strength and cunning are more effective than relying on formal institutions."
tt0081375,Private Benjamin,institutional_cynicism,4,0.7,"The film contains some elements of institutional cynicism, but it is not a central theme. Judy joins the army after a personal crisis, and her initial expectations are comically misaligned with reality. She encounters bureaucratic inefficiencies and absurdities, such as the recruiter's misleading promises and the drill sergeant's harsh treatment. However, the army is not portrayed as inherently corrupt or malicious, but rather as a flawed institution with its own rules and procedures. While Judy struggles to adapt, she eventually finds camaraderie and purpose, suggesting a degree of redemption within the system."
tt0080549,Coal Miner's Daughter,institutional_cynicism,3,0.7,"The subtitles contain minimal evidence of institutional cynicism. While there are references to the coal mining industry, these do not explicitly portray the company or its practices as corrupt or untrustworthy. The fortune teller's prediction of ""bad times a-coming"" could be interpreted as a general distrust of societal structures, but it is not directly linked to any specific institution. The mention of paying ""dues"" to get on the Opry could be interpreted as a critique of the music industry, but it is not developed enough to be structurally central."
tt0081529,Smokey and the Bandit II,institutional_cynicism,4,0.7,"The film presents a mild level of institutional cynicism. The governor is portrayed as potentially corrupt, using his office for personal gain by transporting a mysterious crate to a political convention, suggesting a misuse of power. The sheriff, Buford T. Justice, while dedicated, is often incompetent and easily outsmarted, making him an ineffective figure of authority. However, these elements are more comedic than structurally central. The plot primarily revolves around evading the sheriff and completing the delivery, not a direct confrontation with or subversion of corrupt institutions."
tt0081283,Ordinary People,institutional_cynicism,3,0.8,"The subtitles contain minimal evidence of institutional cynicism. While Conrad attends therapy with Dr. Berger, this is presented as a personal choice and a means of individual healing rather than a commentary on the failure of broader mental health systems. There's no indication that the hospital setting itself is negative; in fact, Conrad recalls it fondly: ""Because nobody hid anything there."" The narrative focuses on interpersonal relationships and individual struggles, with institutions playing a largely neutral role."
tt0081353,Popeye,institutional_cynicism,7,0.9,"Institutional cynicism is a central theme. The town of Sweethaven is governed by the Commodore, who is largely absent, and Captain Bluto, who runs the town in his stead. The dialogue reveals a system of arbitrary and excessive taxation, as seen in the taxman's interactions with Popeye upon his arrival, including taxes for being ""new-in-town"" and for having a ""rowboat-under-the-wharf."" This system is perceived as corrupt and exploitative, with characters like Wimpy attempting to exploit the system for personal gain. The Commodore himself is revealed to be a villainous character, further solidifying the institutional corruption."
tt0080453,The Blue Lagoon,institutional_cynicism,2,0.8,"The subtitles contain minimal evidence of institutional cynicism. The initial shipwreck is an accident, not a result of institutional failure. Paddy Button's character expresses a desire to escape the constraints of formal employment (""No more 'yes, sir,' 'no, sir,' for Paddy Button. No more breaking my back over a stinkin' stove.""), but this is more about personal freedom than a critique of systemic corruption. The children's naive questions about God and heaven reveal a lack of understanding of religious institutions, but not necessarily a distrust of them. Therefore, institutional cynicism is present only in a very minor way."
