imdb_id,title,domestic_box_office_gross,structural_conflict_score,structural_conflict_evidence,force_as_resolution_score,force_as_resolution_evidence,institutional_cynicism_score,institutional_cynicism_evidence,power_dynamics_score,power_dynamics_evidence,extreme_individualism_score,extreme_individualism_evidence,perceived_threat_score,perceived_threat_evidence
tt0080684,Star Wars Ep. V: The Empire Strikes Back,181353855,9.0,"Structural conflict is the dominant engine of the film's narrative. The subtitles reveal a persistent antagonism between the Rebel Alliance and the Empire, with escalating tension as the Empire discovers the Rebel base on Hoth. The film is structured around sustained confrontations, including the ground assault on Hoth and Luke's duel with Darth Vader. High-stakes opposition shapes character decisions, such as Han's need to pay off Jabba the Hutt and Luke's decision to abandon his training to rescue his friends. The narrative progression is almost entirely driven by this sustained antagonism and the threats it poses.",7.0,"Force and violence are central to resolving conflicts in this film. The narrative revolves around the Rebel Alliance's struggle against the Empire, with numerous scenes depicting battles, chases, and threats of violence. Characters like Han Solo and Luke Skywalker are defined by their fighting abilities and willingness to engage in combat. Dialogue frequently references the use of weapons, military tactics, and the need to defend against the Empire's aggression, such as the evacuation of Hoth under attack and Vader's pursuit of Skywalker. The film's climax involves a lightsaber duel between Luke and Darth Vader, highlighting the importance of physical prowess in resolving the central conflict.",4.0,"The subtitles contain some elements of institutional cynicism, but it is not a dominant theme. The most salient example is Han Solo's need to leave the Rebel base due to a ""death mark"" from Jabba the Hutt, implying that the Rebel Alliance cannot or will not protect him from this external threat. There are also minor instances of bureaucratic inefficiency, such as the difficulty in adapting speeders to the cold and the initial failure to detect the Imperial probe droid. However, the Rebel Alliance is generally portrayed as competent and dedicated, and there is no explicit corruption or inherent untrustworthiness displayed. Therefore, while institutions are occasionally shown as flawed or unhelpful, it doesn't drive the plot.",7,"Power dynamics are central to the narrative, primarily through the hierarchical structure of the Empire and the Rebel Alliance. The dialogue is replete with characters giving and receiving orders, such as Vader's commands to his subordinates (""You have failed me for the last time, Admiral."") and Leia's instructions to troops. The film also explores the power struggles within relationships, such as the tension between Han and Leia, where they constantly challenge each other's authority and feelings. Furthermore, the film highlights the power imbalance between Vader and Luke, with Vader attempting to manipulate Luke to join the dark side and rule the galaxy together, showcasing a clear struggle for dominance and control.",5,"The film presents a recurring tension between individual action and collective effort. Han Solo's initial desire to leave the Rebellion due to his personal debts highlights self-interest conflicting with the group's needs. Luke's decision to abandon his Jedi training to rescue his friends, despite Yoda's warnings about the consequences, emphasizes individual choice over the collective goal of defeating the Empire. The dialogue between Luke and Yoda underscores this conflict, with Yoda stressing the importance of patience and control for the greater good, while Luke prioritizes the immediate needs of his friends. This tension is further exemplified by Lando's initial betrayal, motivated by self-preservation, before his eventual redemption and contribution to the group's efforts.",7,"Perceived threat is a central theme in this narrative, with characters constantly facing danger and uncertainty. The dialogue emphasizes the precariousness of their situation, such as when Han says, ""There's a price on my head. If I don't pay off Jabba the Hutt, I'm a dead man."" The constant threat of the Empire is also a major driver, with characters like Leia expressing concern for Luke's safety: ""Princess Leia is wondering about Master Luke. He hasn't come back. She doesn't know where he is."" The environment itself is also portrayed as threatening, with the extreme cold on Hoth and the dangers of the asteroid field. The narrative is driven by the characters' need to survive and protect each other in a hostile world."
tt0081562,Stir Crazy,101300000,8.0,"Structural conflict is a dominant force in this narrative. The film revolves around Harry and Skip's escalating legal troubles after being wrongly convicted of bank robbery, leading to a 125-year sentence. This injustice fuels their desire to escape, creating sustained antagonism against the prison system. The dialogue highlights the constant threat of violence and exploitation within the prison, as characters like Jack Graham and Blade exert control. The high-stakes rodeo competition becomes a central strategic confrontation, offering a chance for escape but also exposing them to further danger. The narrative progression is heavily driven by their attempts to navigate and overcome these conflicts, making it a central engine of the story.",6.0,"Force and violence are recurring elements in this narrative, though not always the primary drivers of resolution. Characters frequently threaten or enact violence, such as the female lead threatening to kick someone in the nuts, and later hitting a waiter. The prison setting introduces a constant undercurrent of potential violence, with characters like Grossberger and Jack Graham representing the threat of physical harm. The rodeo itself, while presented as entertainment, involves the forceful subjugation of animals. However, the narrative also explores non-violent solutions, such as Skip's attempts to reason with the men who stole Chico's wallet, and the eventual escape from prison relies more on cunning and external assistance than direct confrontation.",7.0,"Institutional cynicism is a central theme. The protagonists, Harry and Skip, are wrongly convicted of bank robbery and sentenced to 125 years in prison, highlighting a failure of the justice system. Their lawyer is ineffective, and the legal system dismisses crucial evidence that could exonerate them. Inside prison, corruption is rampant, with inmates like Jack Graham controlling the cellblock and guards engaging in violence. The protagonists ultimately decide to escape, further illustrating their distrust in the system's ability to deliver justice or fair treatment.",6,"Power dynamics are a recurring theme, shaping relationships and driving plot points. The film features characters asserting dominance, such as Jack Graham who ""runs the cellblock"" and can get inmates killed, and the warden who exploits inmates for profit through the rodeo. There are also instances of characters subverting authority, such as Skip and Harry's initial resistance to the prison system and their eventual escape. The dialogue highlights the hierarchical structure of the prison, with guards giving orders and inmates expected to obey, as well as the power struggles between inmates for control and resources. The rodeo itself is framed as a competition for status and control, with the wardens betting on the outcome and the inmates risking their lives for a chance at freedom.",4,"The film features a buddy dynamic between Harry and Skip, but Skip's actions often lean towards individualism. He frequently acts impulsively and independently, such as when he tries to socialize with potentially dangerous individuals (""They're nice guys. They'll take your head off."") or when he decides to participate in the rodeo despite Harry's reservations. Harry, while initially hesitant, usually goes along with Skip's plans, suggesting a degree of codependence rather than true collaboration. The narrative does not strongly emphasize collective action or community needs, but neither does it fully valorize the 'lone wolf' archetype, placing it in the intermittent range.",7,"Perceived threat is a central theme, driving characters' decisions and actions. Harry and Skip are wrongly convicted of bank robbery and sentenced to 125 years in prison. The dialogue emphasizes the constant danger and need for vigilance within the prison environment, with characters like Jesus warning them about the power dynamics and potential for violence: ""You better get bad. If you ain't, you'll get fucked."" The pervasive threat is further highlighted by the presence of notorious killers like Grossberger and Jack Graham, who exert control through fear and intimidation. Skip's attempts to socialize and improve the prison environment are met with resistance and warnings, reinforcing the idea that the outside world (and even the inside world of prison) is inherently dangerous and untrustworthy."
tt0079417,Kramer vs. Kramer,98982763,9.0,"Structural conflict is the dominant engine of the film's narrative. The central conflict arises when Joanna leaves Ted and Billy, initiating a custody battle. This antagonism escalates as both parents fight for Billy, leading to legal confrontations and emotional turmoil. The high stakes of losing custody shape Ted's decisions, forcing him to balance work and parenting, culminating in a courtroom showdown where their fitness as parents is scrutinized. The narrative progression is almost entirely driven by this sustained conflict, making it the core structural element.",2.0,"The subtitles of *Kramer vs. Kramer* primarily focus on emotional and legal conflict resolution, with minimal emphasis on physical force. The central conflict revolves around a couple's divorce and the subsequent custody battle for their son. While there are instances of heightened emotion, such as Ted's outburst at Billy (""Goddamn it! Goddamn it! Get over there and sit on that couch and don't move!"") and the ensuing argument, these moments do not escalate into physical violence. The narrative's resolution depends on legal proceedings and emotional reconciliation rather than force. The film's climax involves Joanna deciding not to take Billy, indicating a resolution based on emotional understanding rather than coercion.",3.0,"The film contains a minimal level of institutional cynicism. The legal system is presented as flawed, as evidenced by the custody battle where the legal proceedings are emotionally taxing and arguably unfair to the father, Ted. The lawyer warns Ted that the courts tend to side with the mother in custody cases involving young children, suggesting a bias within the system. However, the narrative does not focus on widespread institutional corruption or failure. The legal system's imperfections are more of a backdrop to the personal drama rather than a central theme driving the plot.",6,"Power dynamics are a recurring theme, primarily revolving around Ted's career ambitions versus Joanna's desire for self-actualization, and later, the custody battle. Ted's initial focus on his career leads to him dismissing Joanna's needs, as evidenced by her statement that he ""refused to discuss it in any serious way."" The legal battle for Billy's custody is a clear struggle for control, with both parents vying for dominance in his life. The dialogue in the courtroom scenes, with lawyers aggressively questioning Joanna and Ted, highlights the adversarial nature of this power struggle. Even within their relationship with Billy, there are moments of asserting authority, such as when Ted yells at Billy for spilling juice or when he insists on certain rules.",6,"The film explores the tension between individual needs and familial responsibilities, particularly through Joanna's initial departure and subsequent desire for custody. Joanna's dialogue, such as ""I have gone away because I must find something interesting to do for myself in the world,"" highlights her pursuit of personal fulfillment over her role as a mother. Ted's initial focus on his career, demonstrated by his reaction to Joanna's leaving (""Can't you understand what she's done to me?""), also underscores a degree of self-centeredness. However, the narrative also shows Ted's growth and increasing dedication to his son, suggesting a shift away from extreme individualism. The legal battle over Billy's custody becomes a central conflict, pitting Joanna's individual desires against Ted's established role as a caregiver, making the tension between individual needs and collective well-being a recurring theme.",4,"While the film centers on divorce and its emotional fallout, a sense of threat is present, though not dominant. Ted's initial fear of losing his job and his outburst towards Billy indicate a vulnerability to external pressures. The legal battle for custody introduces a more direct threat, with both parents fearing the loss of their child. However, these threats are largely personal and relational, not environmental or societal, and the narrative doesn't cultivate a pervasive sense of danger."
tt0080339,Airplane!,83453539,8.0,"Structural conflict is a dominant force in ""Airplane!"", primarily through the escalating crisis of the poisoned passengers and the need to land the plane safely. The dialogue establishes the threat early: ""Every passenger on this plane who had fish for dinner will become violently ill in the next half-hour."" This creates a ticking clock scenario, driving the narrative forward. The conflict is further heightened by Ted Striker's personal struggles and Kramer's antagonistic presence: ""You know what a landing like this means. You more than anybody. I'm ordering you to stay up there!"" The sustained tension between saving the passengers and Striker's ability to overcome his past directly shapes the plot.",2.0,"The subtitles primarily focus on the characters attempting to land a plane safely after the pilots become incapacitated. While there are instances of conflict, such as Ted and Elaine's relationship issues and the general emergency situation, the narrative does not heavily rely on force or violence to resolve these problems. The characters mainly use communication, skill, and ingenuity to navigate the crisis. The dialogue emphasizes problem-solving through technical expertise and coordination rather than physical confrontation, suggesting a minimal reliance on force as a resolution.",4.0,"The subtitles contain some elements of institutional cynicism, but it is not a central theme. There are minor instances of bureaucratic frustration, such as the repetitive and seemingly nonsensical announcements about loading zones at the airport. More significantly, the airline management and FAA are portrayed as potentially negligent, with Rex Kramer stating, ""Airport management, the FAA and the airlines, they're all cheats and liars!"" However, these instances are relatively isolated and do not drive the main plot, which focuses more on individual heroism and personal relationships.",4,"While not the central focus, power dynamics appear intermittently in the film. There are instances of characters giving orders and others obeying, such as the air traffic control directing the pilot (e.g., ""Flight 209'er, you're cleared for takeoff.""). Captain Kramer attempts to assert authority over Striker, ordering him to stay in the air (""I'm ordering you to stay up there!""), but Striker ultimately defies him. The film also touches on hierarchical structures within the Air Force, with references to rank and obedience, though these are not consistently emphasized.",6,"The film presents a narrative where collective action is initially ineffective, and the resolution hinges on one individual, Ted Striker. While there are elements of teamwork, such as air traffic control assisting Striker, the core problem-solving rests on his shoulders. Dialogue emphasizes Striker's personal struggles and his need to overcome his past failures to save the plane. For example, Kramer says, ""Ted Striker was a crack flight leader up to a point. He was one of those men who...Well, let's just say, felt too much inside."" This highlights Striker's internal conflict as a barrier to collective success. The film also frames Striker's unique capability as essential, as Dr. Rumack states, ""Mr. Striker is the only hope we've got.""",3,"While the film contains elements of danger, such as the impending storm (""Latest weather report shows everything socked in from Salt Lake to Lincoln."") and the food poisoning outbreak (""Every passenger on this plane who had fish for dinner will become violently ill in the next half-hour.""), these threats are largely external and situational. The dialogue does not focus on a pervasive sense of paranoia or the idea that the world is inherently untrustworthy. Characters primarily react to immediate crises rather than expressing a constant fear of the unknown or a deep-seated distrust of others. The narrative is driven more by the immediate need to solve the crisis than by a sustained atmosphere of threat."
tt0080377,Any Which Way You Can,70687344,9.0,"Structural conflict is the dominant engine of the film's narrative. The subtitles reveal persistent antagonism between Philo Beddoe and multiple opposing forces: Jack Wilson, James Beekman, the Black Widows, and even law enforcement. Explicit threats and escalating tension are evident in dialogues such as ""Your animal's going to be dead in 15 seconds"" and the Black Widows' repeated vows of revenge. Sustained confrontation is present in the numerous fights, chases, and strategic maneuvers throughout the film. High-stakes opposition shapes Philo's decisions, particularly regarding the fight with Wilson and protecting Lynn. The entire plot revolves around these conflicts, making structural conflict the central and driving force.",8.0,"Force and violence are central to resolving conflicts in this film. The narrative revolves around bare-knuckle fighting, where physical dominance is the primary means of settling disputes and earning money. Characters like Joe and Jack Wilson are known for their fighting prowess, and Philo's reputation is built on his ability to win fights. The central conflict escalates as various parties, including gangsters and rival fighters, resort to violence and intimidation to manipulate Philo into fighting. The climax involves a brutal fight where the resolution hinges on physical force, solidifying violence as a dominant engine of the narrative.",6.0,"Institutional cynicism is a relevant and recurring theme. The police are portrayed as somewhat inept and easily manipulated, as seen when Philo and Orville evade them after a fight and when the Black Widows steal the police bikes. The legal system is also bypassed, as the entire plot revolves around an illegal bare-knuckle fight with no official oversight. Furthermore, the police are shown to be easily bribed or distracted, as evidenced by the officer who is more concerned with Clyde's paperwork than with the illegal activities occurring around him. The narrative highlights a world where personal strength and cunning are more effective than relying on formal institutions.",7,"Power dynamics are a central theme in this film, driven by the constant assertion of dominance and control. Characters like Beekman and the Black Widows attempt to exert power through threats and violence, while Philo navigates these power plays, often subverting them. The dialogue is filled with instances of characters giving orders, demanding respect, and assessing threats, such as the initial impound threat, the bets placed on fighters, and the constant threats from Beekman and his associates. The film's narrative is significantly shaped by these hierarchical struggles and the characters' attempts to gain or maintain control.",6,"The film features a protagonist, Philo Beddoe, who operates largely outside of conventional social structures. He is a fighter who takes on challenges for personal reasons, such as helping friends or settling scores, rather than for any collective good. Dialogue such as ""I'm doing it, and that's the end of it"" when discussing a dangerous fight, and his general disregard for the law, as evidenced by his interactions with law enforcement and his association with Clyde, highlight his individualistic nature. While he has friends and a romantic interest, his decisions are ultimately his own, and he often rejects advice or warnings, emphasizing his self-reliance. The narrative revolves around his personal journey and choices, making individualism a recurring theme.",6,"The subtitles contain recurring instances of threat and vulnerability, although it is not the dominant structural engine. Characters frequently engage in violent confrontations, such as the fight sequences and the Black Widows' repeated attempts to harm Philo. Dialogue like ""We're going to kill you slow, boy"" and ""You're going to pay for this"" indicates a persistent sense of danger. Additionally, the involvement of organized crime figures like Beekman, who threatens Philo and holds Lynn hostage, contributes to the atmosphere of threat. While the narrative also includes humor and camaraderie, the underlying sense of danger and the need for vigilance are recurring themes."
tt0081375,Private Benjamin,69847348,7.0,"Structural conflict is a central engine in this narrative, primarily through Judy Benjamin's struggles to adapt to the Army and her tumultuous relationships. The initial conflict arises from her disillusionment with Army life versus her recruiter's promises, leading to clashes with Sergeant Ross (""This brassiere isn't regulation, Ross. And neither is this face.""). This is followed by her parents' disapproval and attempts to remove her from the Army. Later, conflict shifts to her romantic life, particularly her relationship with Henri, which is complicated by his past and her own insecurities, culminating in a broken engagement due to infidelity and irreconcilable differences (""I had to see Claire...I prescribed a sedative for her to sleep. That takes 2 minutes, you were gone 4 hours.""). These conflicts drive significant plot developments and shape Judy's decisions.",2.0,"The subtitles of this film, ""Private Benjamin"", contain minimal reliance on force or violence to solve problems. The narrative primarily revolves around Judy Benjamin's personal journey of self-discovery after the death of her husband. While she joins the army, the conflicts she faces are more about adapting to a new environment and finding her identity rather than resolving issues through force. There are instances of military training and war games, but these are presented more as challenges to overcome rather than as central to resolving the core narrative conflicts. Dialogue focuses on personal relationships, emotional struggles, and comedic situations, with little emphasis on violence as a means of resolution.",4.0,"The film contains some elements of institutional cynicism, but it is not a central theme. Judy joins the army after a personal crisis, and her initial expectations are comically misaligned with reality. She encounters bureaucratic inefficiencies and absurdities, such as the recruiter's misleading promises and the drill sergeant's harsh treatment. However, the army is not portrayed as inherently corrupt or malicious, but rather as a flawed institution with its own rules and procedures. While Judy struggles to adapt, she eventually finds camaraderie and purpose, suggesting a degree of redemption within the system.",6,"Power dynamics are a recurring theme, particularly in Judy's relationships and her interactions within the army. The dialogue reveals a struggle for control and independence, as Judy navigates her relationships with men and attempts to assert herself. For example, her brief marriages and the prenuptial agreement requested by Henri highlight power imbalances in romantic relationships. In the army, Sergeant Ross's domineering presence and the strict hierarchical structure emphasize the theme of domination versus submission. Judy's initial resistance and eventual adaptation to the army's power structure further underscore the salience of power dynamics.",6,"The film explores Judy Benjamin's journey of self-discovery and independence, initially driven by a desire to belong and be taken care of, as highlighted by her statement, ""I've never not belonged to somebody."" However, the narrative shifts as she joins the army and confronts challenges that force her to rely on her own capabilities. The tension between her desire for a traditional relationship and her growing sense of self-reliance is evident in her relationships, particularly with Henri, where she ultimately chooses to break off the wedding because she realizes she doesn't want to be financially controlled. The ending, where she leaves Henri at the altar, underscores her decision to prioritize her own needs and desires over societal expectations or romantic fulfillment, making individualism a recurring theme.",3,"The subtitles contain minimal evidence of perceived threat. While the narrative explores themes of vulnerability and uncertainty, it does not establish a pervasive sense of danger or paranoia. The dialogue focuses more on personal relationships, identity, and life transitions than on external threats. The main character, Judy, experiences personal setbacks and anxieties, but these are primarily related to her relationships and self-discovery, not to a hostile or dangerous environment. For example, her parents worry about her well-being, but this stems from concern rather than a belief that the world is inherently dangerous."
tt0080549,Coal Miner's Daughter,67182787,9.0,"Structural conflict is a dominant engine in this film. The narrative revolves around Loretta's struggles in her marriage with Doo, marked by his infidelity, drinking, and controlling behavior. This is evident in dialogues like ""You told Daddy you wouldn't hit me and look at you already"" and ""I'm warning you, Doo...I'd better not catch you with trash like that again."" Loretta's ambition to become a successful singer also creates conflict, as seen in Doo's initial pushiness and later resentment of her success: ""If you slow down, they forget about you."" Furthermore, Loretta's personal battles with fame, motherhood, and her own identity contribute to the sustained tension, making conflict central to the plot's progression.",6.0,"Force and violence are recurring elements in this narrative, though not always the primary means of resolution. Doolittle's character is associated with aggression and a willingness to use force, as seen in his past as a soldier and his involvement in moonshining, where he mentions knowing how to use a gun. The lyrics of Loretta's songs, such as ""Fist City"" and ""You Ain't Woman Enough,"" explicitly threaten violence as a response to infidelity or disrespect. However, the narrative also explores non-violent resolutions, such as Loretta's musical career and her attempts to navigate her marriage through communication and compromise, suggesting that force is not the only or always the most effective solution.",3.0,"The subtitles contain minimal evidence of institutional cynicism. While there are references to the coal mining industry, these do not explicitly portray the company or its practices as corrupt or untrustworthy. The fortune teller's prediction of ""bad times a-coming"" could be interpreted as a general distrust of societal structures, but it is not directly linked to any specific institution. The mention of paying ""dues"" to get on the Opry could be interpreted as a critique of the music industry, but it is not developed enough to be structurally central.",7,"Power dynamics are a central, recurring theme. Doolittle asserts dominance over Loretta through controlling behavior, dictating her appearance and career choices ('You'll do whatever I tell you'). Their relationship is marked by his attempts to control her, contrasted with her growing independence and defiance ('I'll do just what I want!'). The lyrics of Loretta's songs, such as 'You Ain't Woman Enough' and 'Fist City,' explicitly address female assertion of dominance in relationships. Even outside their relationship, Loretta's father exerts control over her choices, highlighting the patriarchal structure of their society.",4,"Individualism is present but not structurally central. Loretta's success is largely due to her own talent and drive, but also heavily influenced by her relationship with her husband, Doo, and her friend Patsy Cline. While Loretta displays some self-reliance, such as writing her own songs and performing despite stage fright, she also relies on Doo's support and management. The dialogue shows a mix of individual ambition and collaborative effort, such as when Doo encourages Loretta to sing despite her reluctance: ""All I can do is just tell you to get the hell out there and sing for the folks."" The narrative does not consistently frame collective efforts as weak or restrictive, and the resolution depends on a balance of Loretta's individual talent and the support of her community.",4,"While not a dominant force, a sense of threat and vulnerability appears intermittently throughout the narrative. The film opens with a literal threat: ""Fire! Fire in the hole."" Later, the fortune teller's ominous warning, ""Bad times is a-coming,"" introduces a sense of foreboding. Loretta's father expresses concern about Doolittle, describing him as ""wild as the devil,"" and warns Loretta not to ""throw all them young years away."" These instances contribute to a feeling of unease and potential danger, though they are not pervasive enough to define the entire narrative structure."
tt0081529,Smokey and the Bandit II,66132626,8.0,"Structural conflict is a central engine driving the narrative. The core conflict revolves around the Bandit and Snowman's mission to transport a package from Miami to Texas for $400,000, opposed by Big Enos Burdette who wants to sabotage them. This is evident from the dialogue: ""Nobody shit-bombs a Burdette and gets away with it."" and ""Enos Burdette, your fat ass will not warm the governor's chair...if I have to spend every goddamn dime I got."" Sheriff Buford T. Justice relentlessly pursues the Bandit, creating escalating tension and physical confrontations: ""You're not getting away from me, Bandit. I'll chase you in hot pursuit to the ends of the earth."" The high stakes and persistent antagonism shape the characters' decisions and actions throughout the film.",6.0,"Force and violence are recurring elements in this narrative, though not always the primary drivers of resolution. The dialogue includes explicit threats and instances of violence, such as Big Enos's plan to ""shit-bomb"" Burdette, and Junior's repeated attempts to use his gun against the Bandit. The film also features car chases, physical altercations (albeit often comedic), and the looming threat of Sheriff Buford T. Justice's pursuit. However, the narrative also relies on cunning, negotiation, and relationships to overcome obstacles, suggesting that force is a relevant but not dominant method for resolving conflicts. The characters often use their wits and connections to outsmart their adversaries, indicating a balance between force and other problem-solving approaches.",4.0,"The film presents a mild level of institutional cynicism. The governor is portrayed as potentially corrupt, using his office for personal gain by transporting a mysterious crate to a political convention, suggesting a misuse of power. The sheriff, Buford T. Justice, while dedicated, is often incompetent and easily outsmarted, making him an ineffective figure of authority. However, these elements are more comedic than structurally central. The plot primarily revolves around evading the sheriff and completing the delivery, not a direct confrontation with or subversion of corrupt institutions.",6,"Power dynamics are a recurring theme, though not the central engine of the narrative. Big Enos Burdette's political aspirations and his attempts to control situations with money and influence are evident in his dialogue, such as when he says, ""I reckon if I spend a few more million, I'd have this election sewed up."" The Sheriff's authority and his relationship with his son, Junior, also highlight power dynamics, as seen in his dismissive and demeaning remarks: ""Junior's nothing but a big mound of tick turd."" The Bandit's fame and the pursuit by the Sheriff create a dynamic of dominance and evasion, while the negotiations for money and services also reflect power struggles.",5,"The film features a central duo, the Bandit and Snowman, who undertake a high-stakes, illegal mission. While they work together, the Bandit's reputation and skill are consistently highlighted, suggesting a reliance on individual capability. The dialogue emphasizes the Bandit's unique status, such as when a fan says, ""Bet that smokey can't handle the legendary Bandit..."" and the Bandit himself claims, ""I'm what you call your 'basic famous.'"" Furthermore, the narrative includes moments where the Bandit's ego and desire for fame create conflict, as Frog accuses him of being a ""fame junkie,"" indicating a tension between personal glory and the needs of the group. The resolution depends on the Bandit's choices, but also on the help of his friends.",4,"While the film features conflict and potential danger, perceived threat is not structurally central. The dialogue includes threats and boasts, such as Big Enos's desire to retaliate against those who slight him (""Nobody shit-bombs a Burdette and gets away with it."") and Buford T. Justice's relentless pursuit of the Bandit, promising to ""chase you in hot pursuit to the ends of the earth."" However, these threats are often played for comedic effect and do not create a pervasive sense of fear or vulnerability. Characters like the Bandit and Snowman seem largely unfazed by the dangers they face, treating them more as challenges or inconveniences than genuine sources of fear. The narrative focuses more on the adventure and humor of their exploits than on the constant presence of danger."
tt0080455,The Blues Brothers,57229890,8.0,"Structural conflict is a central engine driving the narrative. The film is structured around the Blues Brothers' mission to save the Penguin's orphanage, which immediately establishes a high-stakes goal. This mission is fraught with conflict, as evidenced by their confrontations with the Penguin (""I will not take your filthy, stolen money!""), the police (high-speed pursuit), and the Illinois Nazis (""We're gonna kill that son of a bitch.""). The brothers face constant opposition and threats, shaping their decisions and actions throughout the film, making conflict a dominant force in the plot's progression.",7.0,"Force and violence are central to the narrative's progression. The characters frequently resort to aggressive and coercive tactics to achieve their goals. Examples include Jake's violent outburst at the Penguin, the high-speed chase with the police after a minor traffic violation, and the destruction of the mall during the police pursuit. The film also features the Blues Brothers confronting and intimidating individuals, such as the maitre d' at the Chez Paul, to get what they want. The narrative relies heavily on these violent or aggressive encounters to drive the plot forward and create conflict, making force a central theme.",6.0,"Institutional cynicism is a relevant theme in ""The Blues Brothers."" The film portrays law enforcement as actively pursuing the protagonists, even for minor infractions like a broken tail light or traffic violations. Elwood's falsified license renewal, using Wrigley Field as his address, demonstrates a distrust of the system and a willingness to circumvent it. The police are portrayed as easily manipulated and misled, as seen when the brothers evade them through various stunts. The Illinois Nazis' ability to operate openly and freely, even after losing a court case, suggests a failure of the legal system to effectively address hate groups. These elements contribute to a narrative where institutions are not necessarily helpful or just, but rather obstacles to be avoided or outsmarted.",6,"Power dynamics are a recurring theme, though not the central engine of the narrative. Jake and Elwood are constantly navigating hierarchical structures, such as when they interact with the Penguin, who holds moral authority over them and demands they redeem themselves. They also encounter figures of authority like the police, whom they evade, and the maitre d' at Chez Paul, whom they manipulate. The film also shows the assertion of dominance, such as when Matt's wife asserts control over his decisions, leading to a power struggle resolved through song. These instances demonstrate a consistent, though not overwhelming, focus on power and control.",4,"The narrative features elements of individualism, primarily through Jake and Elwood's actions, but it's not structurally dominant. They are on a 'mission from God,' suggesting a higher purpose beyond personal gain, but their methods often involve breaking rules and disregarding authority. For example, they lie to the Penguin and engage in reckless behavior, like driving through a mall, with little regard for the consequences to others. Elwood's falsification of his address and Jake's confrontational attitude towards figures like the Penguin and the Nazis also highlight a disregard for societal norms. However, their ultimate goal is to save the orphanage, indicating a degree of concern for the collective, and they do rely on the cooperation of the band members, which tempers the individualism.",6,"The narrative contains recurring elements of threat and vulnerability, though it's not the dominant force. Jake's recent release from prison immediately places him in a precarious position, highlighted by Elwood's questionable choices (the police car) and the constant threat of re-incarceration (""Now you're gonna put me right back in the joint!""). The brothers face external threats from the police, Illinois Nazis (""We're gonna kill that son of a bitch.""), and even a mysterious woman who repeatedly tries to kill them. While the film has comedic elements, the underlying sense of danger and the need for vigilance are consistent, contributing to a moderate level of perceived threat."
tt0081283,Ordinary People,52302978,8.0,"Structural conflict is a central engine of the film, primarily revolving around Conrad's struggles with depression, guilt, and strained family relationships. The dialogue reveals persistent tension between Conrad and his mother, Beth, stemming from the death of his brother and his suicide attempt: ""It's important to hurt me, isn't it?"" and ""The only reason she gives a fuck about it is cos someone else knew first!"" Conrad's therapy sessions with Dr. Berger are a recurring element, highlighting his internal conflict and attempts to cope with trauma: ""I'd like to be more in control, I guess."" The film escalates with confrontations, such as the fight with Stillman and the climactic revelation of Karen's suicide, further intensifying the conflict and driving the narrative forward. The high stakes of Conrad's mental health and the family's ability to heal shape character decisions and propel the story.",3.0,"The subtitles primarily focus on interpersonal relationships, emotional struggles, and communication (or lack thereof) within a family dealing with grief and mental health issues. There is a brief physical altercation between Conrad and Stillman, initiated by Stillman's verbal harassment (""Hear you got eyes for Pratt. You in her pants yet?""), but this is an isolated incident and not central to the narrative's resolution. The film explores themes of guilt, forgiveness, and healing through dialogue and therapy, rather than through physical force. While the characters experience intense emotional conflict, the resolution hinges on understanding and communication, not violence.",3.0,"The subtitles contain minimal evidence of institutional cynicism. While Conrad attends therapy with Dr. Berger, this is presented as a personal choice and a means of individual healing rather than a commentary on the failure of broader mental health systems. There's no indication that the hospital setting itself is negative; in fact, Conrad recalls it fondly: ""Because nobody hid anything there."" The narrative focuses on interpersonal relationships and individual struggles, with institutions playing a largely neutral role.",5,"Power dynamics are a recurring theme, though not the central engine of the narrative. The film explores power within the family, particularly between parents and children. Calvin's attempts to control Conrad's therapy and Beth's rigid expectations create tension. The coach's domineering attitude towards the swim team is evident in his commands and criticisms. However, the film also focuses on internal struggles and emotional healing, suggesting power dynamics are relevant but not structurally dominant.",4,"Individualism is present, but not dominant. Conrad's internal struggles and therapy sessions suggest a focus on individual healing, but this is largely driven by external pressures from his family and past trauma. There are moments where characters emphasize personal responsibility, such as Dr. Berger's confrontational therapy style, but these are balanced by the family's attempts to function as a unit. The film explores the challenges of individual healing within a family context, but the narrative doesn't strongly promote self-reliance over collective support. The ending shows Conrad starting to connect with others, suggesting a move away from isolation.",6,"While not the dominant force, perceived threat is a recurring theme. Conrad's struggles with mental health, stemming from his brother's death and his own suicide attempt, create a sense of vulnerability. Dialogue such as ""People nervous, treating you like you're a dangerous character?"" and ""I'd like to be more in control, I guess. Why? So people can quit worrying about me"" highlights the external perception of Conrad as a potential threat and his own desire to manage that perception. The therapy sessions with Dr. Berger explore Conrad's feelings of guilt and inadequacy, further emphasizing his vulnerability. The violent outburst with Stillman and the revelation of Karen's suicide contribute to the overall sense of a dangerous and unpredictable world."
