imdb_id,title,theme_name,theme_salience,confidence,justification
tt0080684,Star Wars Ep. V: The Empire Strikes Back,force_as_resolution,7,0.9,"Force and violence are central to resolving conflicts in this film. The narrative revolves around the Rebel Alliance's struggle against the Empire, with numerous scenes depicting battles, chases, and threats of violence. Characters like Han Solo and Luke Skywalker are defined by their fighting abilities and willingness to engage in combat. Dialogue frequently references the use of weapons, military tactics, and the need to defend against the Empire's aggression, such as the evacuation of Hoth under attack and Vader's pursuit of Skywalker. The film's climax involves a lightsaber duel between Luke and Darth Vader, highlighting the importance of physical prowess in resolving the central conflict."
tt0081562,Stir Crazy,force_as_resolution,6,0.8,"Force and violence are recurring elements in this narrative, though not always the primary drivers of resolution. Characters frequently threaten or enact violence, such as the female lead threatening to kick someone in the nuts, and later hitting a waiter. The prison setting introduces a constant undercurrent of potential violence, with characters like Grossberger and Jack Graham representing the threat of physical harm. The rodeo itself, while presented as entertainment, involves the forceful subjugation of animals. However, the narrative also explores non-violent solutions, such as Skip's attempts to reason with the men who stole Chico's wallet, and the eventual escape from prison relies more on cunning and external assistance than direct confrontation."
tt0079417,Kramer vs. Kramer,force_as_resolution,2,1,"The subtitles of *Kramer vs. Kramer* primarily focus on emotional and legal conflict resolution, with minimal emphasis on physical force. The central conflict revolves around a couple's divorce and the subsequent custody battle for their son. While there are instances of heightened emotion, such as Ted's outburst at Billy (""Goddamn it! Goddamn it! Get over there and sit on that couch and don't move!"") and the ensuing argument, these moments do not escalate into physical violence. The narrative's resolution depends on legal proceedings and emotional reconciliation rather than force. The film's climax involves Joanna deciding not to take Billy, indicating a resolution based on emotional understanding rather than coercion."
tt0080339,Airplane!,force_as_resolution,2,0.9,"The subtitles primarily focus on the characters attempting to land a plane safely after the pilots become incapacitated. While there are instances of conflict, such as Ted and Elaine's relationship issues and the general emergency situation, the narrative does not heavily rely on force or violence to resolve these problems. The characters mainly use communication, skill, and ingenuity to navigate the crisis. The dialogue emphasizes problem-solving through technical expertise and coordination rather than physical confrontation, suggesting a minimal reliance on force as a resolution."
tt0080377,Any Which Way You Can,force_as_resolution,8,0.9,"Force and violence are central to resolving conflicts in this film. The narrative revolves around bare-knuckle fighting, where physical dominance is the primary means of settling disputes and earning money. Characters like Joe and Jack Wilson are known for their fighting prowess, and Philo's reputation is built on his ability to win fights. The central conflict escalates as various parties, including gangsters and rival fighters, resort to violence and intimidation to manipulate Philo into fighting. The climax involves a brutal fight where the resolution hinges on physical force, solidifying violence as a dominant engine of the narrative."
tt0081375,Private Benjamin,force_as_resolution,2,0.9,"The subtitles of this film, ""Private Benjamin"", contain minimal reliance on force or violence to solve problems. The narrative primarily revolves around Judy Benjamin's personal journey of self-discovery after the death of her husband. While she joins the army, the conflicts she faces are more about adapting to a new environment and finding her identity rather than resolving issues through force. There are instances of military training and war games, but these are presented more as challenges to overcome rather than as central to resolving the core narrative conflicts. Dialogue focuses on personal relationships, emotional struggles, and comedic situations, with little emphasis on violence as a means of resolution."
tt0080549,Coal Miner's Daughter,force_as_resolution,6,0.8,"Force and violence are recurring elements in this narrative, though not always the primary means of resolution. Doolittle's character is associated with aggression and a willingness to use force, as seen in his past as a soldier and his involvement in moonshining, where he mentions knowing how to use a gun. The lyrics of Loretta's songs, such as ""Fist City"" and ""You Ain't Woman Enough,"" explicitly threaten violence as a response to infidelity or disrespect. However, the narrative also explores non-violent resolutions, such as Loretta's musical career and her attempts to navigate her marriage through communication and compromise, suggesting that force is not the only or always the most effective solution."
tt0081529,Smokey and the Bandit II,force_as_resolution,6,0.8,"Force and violence are recurring elements in this narrative, though not always the primary drivers of resolution. The dialogue includes explicit threats and instances of violence, such as Big Enos's plan to ""shit-bomb"" Burdette, and Junior's repeated attempts to use his gun against the Bandit. The film also features car chases, physical altercations (albeit often comedic), and the looming threat of Sheriff Buford T. Justice's pursuit. However, the narrative also relies on cunning, negotiation, and relationships to overcome obstacles, suggesting that force is a relevant but not dominant method for resolving conflicts. The characters often use their wits and connections to outsmart their adversaries, indicating a balance between force and other problem-solving approaches."
tt0080455,The Blues Brothers,force_as_resolution,7,0.9,"Force and violence are central to the narrative's progression. The characters frequently resort to aggressive and coercive tactics to achieve their goals. Examples include Jake's violent outburst at the Penguin, the high-speed chase with the police after a minor traffic violation, and the destruction of the mall during the police pursuit. The film also features the Blues Brothers confronting and intimidating individuals, such as the maitre d' at the Chez Paul, to get what they want. The narrative relies heavily on these violent or aggressive encounters to drive the plot forward and create conflict, making force a central theme."
tt0081283,Ordinary People,force_as_resolution,3,0.9,"The subtitles primarily focus on interpersonal relationships, emotional struggles, and communication (or lack thereof) within a family dealing with grief and mental health issues. There is a brief physical altercation between Conrad and Stillman, initiated by Stillman's verbal harassment (""Hear you got eyes for Pratt. You in her pants yet?""), but this is an isolated incident and not central to the narrative's resolution. The film explores themes of guilt, forgiveness, and healing through dialogue and therapy, rather than through physical force. While the characters experience intense emotional conflict, the resolution hinges on understanding and communication, not violence."
