imdb_id,title,theme_name,theme_salience,confidence,justification
tt0080684,Star Wars Ep. V: The Empire Strikes Back,power_dynamics,7,0.9,"Power dynamics are central to the narrative, primarily through the hierarchical structure of the Empire and the Rebel Alliance. The dialogue is replete with characters giving and receiving orders, such as Vader's commands to his subordinates (""You have failed me for the last time, Admiral."") and Leia's instructions to troops. The film also explores the power struggles within relationships, such as the tension between Han and Leia, where they constantly challenge each other's authority and feelings. Furthermore, the film highlights the power imbalance between Vader and Luke, with Vader attempting to manipulate Luke to join the dark side and rule the galaxy together, showcasing a clear struggle for dominance and control."
tt0081562,Stir Crazy,power_dynamics,6,0.8,"Power dynamics are a recurring theme, shaping relationships and driving plot points. The film features characters asserting dominance, such as Jack Graham who ""runs the cellblock"" and can get inmates killed, and the warden who exploits inmates for profit through the rodeo. There are also instances of characters subverting authority, such as Skip and Harry's initial resistance to the prison system and their eventual escape. The dialogue highlights the hierarchical structure of the prison, with guards giving orders and inmates expected to obey, as well as the power struggles between inmates for control and resources. The rodeo itself is framed as a competition for status and control, with the wardens betting on the outcome and the inmates risking their lives for a chance at freedom."
tt0079417,Kramer vs. Kramer,power_dynamics,6,0.9,"Power dynamics are a recurring theme, primarily revolving around Ted's career ambitions versus Joanna's desire for self-actualization, and later, the custody battle. Ted's initial focus on his career leads to him dismissing Joanna's needs, as evidenced by her statement that he ""refused to discuss it in any serious way."" The legal battle for Billy's custody is a clear struggle for control, with both parents vying for dominance in his life. The dialogue in the courtroom scenes, with lawyers aggressively questioning Joanna and Ted, highlights the adversarial nature of this power struggle. Even within their relationship with Billy, there are moments of asserting authority, such as when Ted yells at Billy for spilling juice or when he insists on certain rules."
tt0080339,Airplane!,power_dynamics,4,0.8,"While not the central focus, power dynamics appear intermittently in the film. There are instances of characters giving orders and others obeying, such as the air traffic control directing the pilot (e.g., ""Flight 209'er, you're cleared for takeoff.""). Captain Kramer attempts to assert authority over Striker, ordering him to stay in the air (""I'm ordering you to stay up there!""), but Striker ultimately defies him. The film also touches on hierarchical structures within the Air Force, with references to rank and obedience, though these are not consistently emphasized."
tt0080377,Any Which Way You Can,power_dynamics,7,0.9,"Power dynamics are a central theme in this film, driven by the constant assertion of dominance and control. Characters like Beekman and the Black Widows attempt to exert power through threats and violence, while Philo navigates these power plays, often subverting them. The dialogue is filled with instances of characters giving orders, demanding respect, and assessing threats, such as the initial impound threat, the bets placed on fighters, and the constant threats from Beekman and his associates. The film's narrative is significantly shaped by these hierarchical struggles and the characters' attempts to gain or maintain control."
tt0081375,Private Benjamin,power_dynamics,6,0.8,"Power dynamics are a recurring theme, particularly in Judy's relationships and her interactions within the army. The dialogue reveals a struggle for control and independence, as Judy navigates her relationships with men and attempts to assert herself. For example, her brief marriages and the prenuptial agreement requested by Henri highlight power imbalances in romantic relationships. In the army, Sergeant Ross's domineering presence and the strict hierarchical structure emphasize the theme of domination versus submission. Judy's initial resistance and eventual adaptation to the army's power structure further underscore the salience of power dynamics."
tt0080549,Coal Miner's Daughter,power_dynamics,7,0.9,"Power dynamics are a central, recurring theme. Doolittle asserts dominance over Loretta through controlling behavior, dictating her appearance and career choices ('You'll do whatever I tell you'). Their relationship is marked by his attempts to control her, contrasted with her growing independence and defiance ('I'll do just what I want!'). The lyrics of Loretta's songs, such as 'You Ain't Woman Enough' and 'Fist City,' explicitly address female assertion of dominance in relationships. Even outside their relationship, Loretta's father exerts control over her choices, highlighting the patriarchal structure of their society."
tt0081529,Smokey and the Bandit II,power_dynamics,6,0.8,"Power dynamics are a recurring theme, though not the central engine of the narrative. Big Enos Burdette's political aspirations and his attempts to control situations with money and influence are evident in his dialogue, such as when he says, ""I reckon if I spend a few more million, I'd have this election sewed up."" The Sheriff's authority and his relationship with his son, Junior, also highlight power dynamics, as seen in his dismissive and demeaning remarks: ""Junior's nothing but a big mound of tick turd."" The Bandit's fame and the pursuit by the Sheriff create a dynamic of dominance and evasion, while the negotiations for money and services also reflect power struggles."
tt0080455,The Blues Brothers,power_dynamics,6,0.8,"Power dynamics are a recurring theme, though not the central engine of the narrative. Jake and Elwood are constantly navigating hierarchical structures, such as when they interact with the Penguin, who holds moral authority over them and demands they redeem themselves. They also encounter figures of authority like the police, whom they evade, and the maitre d' at Chez Paul, whom they manipulate. The film also shows the assertion of dominance, such as when Matt's wife asserts control over his decisions, leading to a power struggle resolved through song. These instances demonstrate a consistent, though not overwhelming, focus on power and control."
tt0081283,Ordinary People,power_dynamics,5,0.8,"Power dynamics are a recurring theme, though not the central engine of the narrative. The film explores power within the family, particularly between parents and children. Calvin's attempts to control Conrad's therapy and Beth's rigid expectations create tension. The coach's domineering attitude towards the swim team is evident in his commands and criticisms. However, the film also focuses on internal struggles and emotional healing, suggesting power dynamics are relevant but not structurally dominant."
